Date,Price,Note
2009-09-16,220000000 gp,
2009-09-17,220000000 gp,
2009-09-18,222200000 gp,
2009-09-19,222200000 gp,
2009-09-20,224100000 gp,
2009-09-21,224100000 gp,
2009-09-22,226000000 gp,
2009-09-23,226000000 gp,
2009-09-24,228100000 gp,
2009-09-25,228100000 gp,
2009-09-26,229200000 gp,
2009-09-27,229200000 gp,
2009-09-28,231300000 gp,
2009-09-29,233100000 gp,
2009-09-30,233100000 gp,
2009-10-01,235200000 gp,
2009-10-02,235200000 gp,
2009-10-03,237200000 gp,
2009-10-04,237200000 gp,
2009-10-05,237200000 gp,
2009-10-06,239300000 gp,
2009-10-07,239300000 gp,
2009-10-08,241400000 gp,
2009-10-09,241400000 gp,
2009-10-10,243400000 gp,
2009-10-11,243400000 gp,
2009-10-12,245500000 gp,
2009-10-13,245500000 gp,
2009-10-14,247500000 gp,
2009-10-15,247500000 gp,
2009-10-16,247500000 gp,
2009-10-17,249700000 gp,
2009-10-18,251900000 gp,
2009-10-19,251900000 gp,
2009-10-20,251900000 gp,
2009-10-21,251900000 gp,
2009-10-22,254000000 gp,
2009-10-23,254000000 gp,
2009-10-24,256200000 gp,
2009-10-25,258700000 gp,
2009-10-26,258700000 gp,
2009-10-27,260800000 gp,
2009-10-28,260800000 gp,
2009-10-29,260800000 gp,
2009-10-30,261600000 gp,
2009-10-31,262500000 gp,
2009-11-01,263400000 gp,
2009-11-02,263400000 gp,
2009-11-03,264300000 gp,
2009-11-04,264300000 gp,
2009-11-05,264300000 gp,
2009-11-06,265300000 gp,
2009-11-07,265300000 gp,
2009-11-08,267600000 gp,
2009-11-09,267600000 gp,
2009-11-10,270000000 gp,
2009-11-11,270000000 gp,
2009-11-12,270000000 gp,
2009-11-13,272300000 gp,
2009-11-14,272300000 gp,
2009-11-15,272300000 gp,
2009-11-16,274900000 gp,
2009-11-17,274900000 gp,
2009-11-18,274900000 gp,
2009-11-19,277300000 gp,
2009-11-20,277300000 gp,
2009-11-21,279600000 gp,
2009-11-22,279600000 gp,
2009-11-23,279600000 gp,
2009-11-24,279600000 gp,
2009-11-25,282000000 gp,
2009-11-26,282000000 gp,
2009-11-27,282000000 gp,
2009-11-28,284500000 gp,
2009-11-29,284500000 gp,
2009-11-30,284500000 gp,
2009-12-01,287100000 gp,
2009-12-02,287100000 gp,
2009-12-03,289600000 gp,
2009-12-04,289600000 gp,
2009-12-05,289600000 gp,
2009-12-06,292200000 gp,
2009-12-07,292200000 gp,
2009-12-08,292200000 gp,
2009-12-09,295000000 gp,
2009-12-10,295000000 gp,
2009-12-11,295000000 gp,
2009-12-12,297700000 gp,
2009-12-13,297700000 gp,
2009-12-14,297700000 gp,
2009-12-15,297700000 gp,
2009-12-16,300300000 gp,
2009-12-17,300300000 gp,
2009-12-18,300300000 gp,
2009-12-19,302700000 gp,
2009-12-20,302700000 gp,
2009-12-21,302700000 gp,
2009-12-22,305400000 gp,
2009-12-23,305400000 gp,
2009-12-24,305400000 gp,
2009-12-25,308000000 gp,
2009-12-26,308000000 gp,
2009-12-27,308000000 gp,
2009-12-28,308000000 gp,
2009-12-29,308000000 gp,
2009-12-30,310700000 gp,
2009-12-31,310700000 gp,
2010-01-01,310700000 gp,
2010-01-02,310700000 gp,
2010-01-03,313400000 gp,
2010-01-04,313400000 gp,
2010-01-05,313400000 gp,
2010-01-06,316200000 gp,
2010-01-07,316200000 gp,
2010-01-08,316200000 gp,
2010-01-09,318800000 gp,
2010-01-10,318800000 gp,
2010-01-11,318800000 gp,
2010-01-12,318800000 gp,
2010-01-13,318800000 gp,
2010-01-14,318800000 gp,
2010-01-15,321700000 gp,
2010-01-16,321700000 gp,
2010-01-17,321700000 gp,
2010-01-18,321700000 gp,
2010-01-19,321700000 gp,
2010-01-20,322200000 gp,
2010-01-21,322200000 gp,
2010-01-22,322200000 gp,
2010-01-23,323100000 gp,
2010-01-24,323100000 gp,
2010-01-25,323100000 gp,
2010-01-26,323100000 gp,
2010-01-27,326100000 gp,
2010-01-28,326100000 gp,
2010-01-29,326100000 gp,
2010-01-30,328900000 gp,
2010-01-31,328900000 gp,
2010-02-01,328900000 gp,
2010-02-02,328900000 gp,
2010-02-03,328900000 gp,
2010-02-04,331700000 gp,
2010-02-05,331700000 gp,
2010-02-06,331700000 gp,
2010-02-07,334600000 gp,
2010-02-08,334600000 gp,
2010-02-09,334600000 gp,
2010-02-10,334600000 gp,
2010-02-11,334600000 gp,
2010-02-12,334600000 gp,
2010-02-13,337500000 gp,
2010-02-14,337500000 gp,
2010-02-15,337500000 gp,
2010-02-16,337500000 gp,
2010-02-17,337500000 gp,
2010-02-18,340500000 gp,
2010-02-19,340500000 gp,
2010-02-20,340500000 gp,
2010-02-21,340500000 gp,
2010-02-22,340500000 gp,
2010-02-23,343400000 gp,
2010-02-24,343400000 gp,
2010-02-25,343400000 gp,
2010-02-26,343400000 gp,
2010-02-27,343400000 gp,
2010-02-28,343400000 gp,
2010-03-01,346300000 gp,
2010-03-02,346300000 gp,
2010-03-03,346300000 gp,
2010-03-04,346300000 gp,
2010-03-05,346300000 gp,
2010-03-06,346300000 gp,
2010-03-07,349500000 gp,
2010-03-08,349500000 gp,
2010-03-09,349500000 gp,
2010-03-10,349500000 gp,
2010-03-11,349500000 gp,
2010-03-12,349500000 gp,
2010-03-13,352700000 gp,
2010-03-14,352700000 gp,
2010-03-15,352700000 gp,
2010-03-16,352700000 gp,
2010-03-17,352700000 gp,
2010-03-18,352700000 gp,
2010-03-19,355800000 gp,
2010-03-20,355800000 gp,
2010-03-21,355800000 gp,
2010-03-22,355800000 gp,
2010-03-23,355800000 gp,
2010-03-24,358900000 gp,
2010-03-25,358900000 gp,
2010-03-26,358900000 gp,
2010-03-27,358900000 gp,
2010-03-28,358900000 gp,
2010-03-29,358900000 gp,
2010-03-30,362100000 gp,
2010-03-31,362100000 gp,
2010-04-01,362100000 gp,
2010-04-02,362100000 gp,
2010-04-03,362100000 gp,
2010-04-04,365400000 gp,
2010-04-05,365400000 gp,
2010-04-06,365400000 gp,
2010-04-07,368600000 gp,
2010-04-08,368600000 gp,
2010-04-09,368600000 gp,
2010-04-10,368600000 gp,
2010-04-11,368600000 gp,
2010-04-12,368600000 gp,
2010-04-13,368600000 gp,
2010-04-14,371500000 gp,
2010-04-15,371500000 gp,
2010-04-16,371500000 gp,
2010-04-17,371500000 gp,
2010-04-18,371500000 gp,
