Date,Price,Note
2010-11-21,195500 gp,
2010-11-22,185700 gp,
2010-11-23,176400 gp,
2010-11-24,177200 gp,
2010-11-25,177200 gp,
2010-11-26,184900 gp,
2010-11-27,199700 gp,
2010-11-28,199700 gp,
2010-11-29,209200 gp,
2010-11-30,217600 gp,
2010-12-01,209900 gp,
2010-12-02,209900 gp,
2010-12-03,199400 gp,
2010-12-04,189500 gp,
2010-12-05,171000 gp,
2010-12-06,171000 gp,
2010-12-07,175700 gp,
2010-12-08,184400 gp,
2010-12-09,184400 gp,
2010-12-10,192800 gp,
2010-12-11,186200 gp,
2010-12-12,179500 gp,
2010-12-13,178700 gp,
2010-12-14,184200 gp,
2010-12-15,182700 gp,
2010-12-16,183200 gp,
2010-12-17,183200 gp,
2010-12-18,168600 gp,
2010-12-19,168600 gp,
2010-12-20,168300 gp,
2010-12-21,173700 gp,
2010-12-22,178100 gp,
2010-12-23,171600 gp,
2010-12-24,171600 gp,
2010-12-25,163000 gp,
2010-12-26,155100 gp,
2010-12-27,147400 gp,
2010-12-28,141000 gp,
2010-12-29,134100 gp,
2010-12-30,129500 gp,
2010-12-31,129500 gp,
2011-01-01,127400 gp,
2011-01-02,129100 gp,
2011-01-03,132100 gp,
2011-01-04,132100 gp,
2011-01-05,131700 gp,
2011-01-06,131700 gp,
2011-01-07,130700 gp,
2011-01-08,130700 gp,
2011-01-09,130800 gp,
2011-01-10,127900 gp,
2011-01-11,130900 gp,
2011-01-12,128800 gp,
2011-01-13,126600 gp,
2011-01-14,126600 gp,
2011-01-15,125900 gp,
2011-01-16,134700 gp,
2011-01-17,132000 gp,
2011-01-18,127200 gp,
2011-01-19,130800 gp,
2011-01-20,130800 gp,
2011-01-21,131400 gp,
2011-01-22,125800 gp,
2011-01-23,125800 gp,
2011-01-24,127600 gp,
2011-01-25,127600 gp,
2011-01-26,133100 gp,
2011-01-27,133300 gp,
2011-01-28,132000 gp,
2011-01-29,138500 gp,
2011-01-30,138500 gp,
2011-01-31,136100 gp,
2011-02-01,136100 gp,
2011-02-02,130200 gp,
