Date,Price,Note
2010-07-20,3500000 gp,
2010-07-21,3400000 gp,
2010-07-22,3400000 gp,
2010-07-23,3400000 gp,
2010-07-24,3500000 gp,
2010-07-25,3600000 gp,
2010-07-26,3600000 gp,
2010-07-27,3600000 gp,
2010-07-28,3600000 gp,
2010-07-29,3600000 gp,
2010-07-30,3600000 gp,
2010-07-31,3600000 gp,
2010-08-01,3600000 gp,
2010-08-02,3600000 gp,
2010-08-03,3600000 gp,
2010-08-04,3500000 gp,
2010-08-05,3500000 gp,
2010-08-06,3400000 gp,
2010-08-07,3400000 gp,
2010-08-08,3500000 gp,
2010-08-09,3500000 gp,
2010-08-10,3600000 gp,
2010-08-11,3600000 gp,
2010-08-12,3500000 gp,
2010-08-13,3500000 gp,
2010-08-14,3500000 gp,
2010-08-15,3600000 gp,
2010-08-16,3600000 gp,
2010-08-17,3600000 gp,
2010-08-18,3500000 gp,
2010-08-19,3500000 gp,
2010-08-20,3500000 gp,
2010-08-21,3400000 gp,
2010-08-22,3300000 gp,
2010-08-23,3300000 gp,
2010-08-24,3300000 gp,
2010-08-25,3400000 gp,
2010-08-26,3400000 gp,
2010-08-27,3400000 gp,
2010-08-28,3400000 gp,
2010-08-29,3400000 gp,
2010-08-30,3400000 gp,
2010-08-31,3400000 gp,
2010-09-01,3400000 gp,
2010-09-02,3400000 gp,
2010-09-03,3300000 gp,
2010-09-04,3400000 gp,
2010-09-05,3400000 gp,
2010-09-06,3400000 gp,
2010-09-07,3400000 gp,
2010-09-08,3300000 gp,
2010-09-09,3400000 gp,
2010-09-10,3400000 gp,
2010-09-11,3400000 gp,
2010-09-12,3400000 gp,
2010-09-13,3400000 gp,
2010-09-14,3400000 gp,
2010-09-15,3400000 gp,
2010-09-16,3400000 gp,
2010-09-17,3400000 gp,
2010-09-18,3400000 gp,
2010-09-19,3400000 gp,
2010-09-20,3400000 gp,
2010-09-21,3400000 gp,
2010-09-22,3400000 gp,
2010-09-23,3400000 gp,
2010-09-24,3400000 gp,
2010-09-25,3400000 gp,
2010-09-26,3400000 gp,
2010-09-27,3400000 gp,
2010-09-28,3400000 gp,
2010-09-29,3300000 gp,
2010-09-30,3300000 gp,
2010-10-01,3300000 gp,
2010-10-02,3300000 gp,
2010-10-03,3400000 gp,
2010-10-04,3400000 gp,
2010-10-05,3400000 gp,
2010-10-06,3400000 gp,
2010-10-07,3400000 gp,
2010-10-08,3400000 gp,
2010-10-09,3400000 gp,
2010-10-10,3400000 gp,
2010-10-11,3400000 gp,
2010-10-12,3400000 gp,
2010-10-13,3400000 gp,
2010-10-14,3300000 gp,
2010-10-15,3300000 gp,
2010-10-16,3300000 gp,
2010-10-17,3400000 gp,
2010-10-18,3400000 gp,
2010-10-19,3400000 gp,
2010-10-20,3300000 gp,
2010-10-21,3300000 gp,
2010-10-22,3300000 gp,
2010-10-23,3300000 gp,
2010-10-24,3300000 gp,
2010-10-25,3300000 gp,
2010-10-26,3300000 gp,
2010-10-27,3300000 gp,
2010-10-28,3300000 gp,
2010-10-29,3300000 gp,
2010-10-30,3300000 gp,
2010-10-31,3300000 gp,
2010-11-01,3300000 gp,
2010-11-02,3300000 gp,
2010-11-03,3500000 gp,
2010-11-04,3600000 gp,
2010-11-06,3700000 gp,
2010-11-07,3300000 gp,
2010-11-08,3400000 gp,
2010-11-09,3400000 gp,
2010-11-10,3500000 gp,
2010-11-11,3700000 gp,
2010-11-12,3500000 gp,
2010-11-13,3300000 gp,
2010-11-14,3200000 gp,
2010-11-15,3200000 gp,
2010-11-16,3200000 gp,
2010-11-17,3200000 gp,
2010-11-18,3200000 gp,
2010-11-19,3100000 gp,
2010-11-20,3100000 gp,
2010-11-21,3100000 gp,
2010-11-22,3200000 gp,
2010-11-23,3200000 gp,
2010-11-24,3100000 gp,
2010-11-25,3100000 gp,
2010-11-26,3100000 gp,
2010-11-27,3200000 gp,
2010-11-28,3200000 gp,
2010-11-29,3200000 gp,
2010-11-30,3100000 gp,
2010-12-01,3200000 gp,
2010-12-02,3200000 gp,
2010-12-03,3200000 gp,
2010-12-04,3300000 gp,
2010-12-05,3300000 gp,
2010-12-06,3300000 gp,
2010-12-07,3500000 gp,
